#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:EZH2_protein_species_megaalign" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:EZH2_protein_species_megaalign" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:EZH2_protein_species_megaalign">
#                <taxonset id="TaxonSet.EZH2_protein_species_megaalign" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:EZH2_protein_species_megaalign" name="distribution" x="@birthRate.t:EZH2_protein_species_megaalign">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:EZH2_protein_species_megaalign" name="distribution">
#            <parameter id="gammaShape.s:EZH2_protein_species_megaalign" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:EZH2_protein_species_megaalign" name="distribution">
#            <parameter id="ucldStdev.c:EZH2_protein_species_megaalign" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@EZH2_protein_species_megaalign" id="treeLikelihood.EZH2_protein_species_megaalign" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:EZH2_protein_species_megaalign">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:EZH2_protein_species_megaalign" shape="@gammaShape.s:EZH2_protein_species_megaalign" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:EZH2_protein_species_megaalign" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:EZH2_protein_species_megaalign" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:EZH2_protein_species_megaalign" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:EZH2_protein_species_megaalign" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:EZH2_protein_species_megaalign">
#                <LogNormal S="@ucldStdev.c:EZH2_protein_species_megaalign" id="LogNormalDistributionModel.c:EZH2_protein_species_megaalign" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="48" id="rateCategories.c:EZH2_protein_species_megaalign" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:EZH2_protein_species_megaalign" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	gammaShape	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
29000	-16870.1651952692	-16844.839146232232	-25.326049036969053	-16844.839146232232	3.487323050538467	1.0	0.5561884818180372	1.2187104280743812	0.7109091840005206	0.45788416689616684	1.0804705885418864	-21.508722330451235	0.9513280103565676
30000	-16882.21321370317	-16853.18552397916	-29.02768972400943	-16853.18552397916	4.289513957458782	1.0	0.5561884818180372	1.2560726343540944	0.7183870382643234	0.41877907271507253	1.0591052516215729	-25.098628059074244	1.2994289623727808
31000	-16875.290307755575	-16851.641920436592	-23.648387318984454	-16851.641920436592	2.9192921079988228	1.0	0.5561884818180372	1.2254214809671438	0.7469528164520558	0.5006604157527111	1.094415344562608	-19.810959488738963	1.376046074070446
32000	-16877.91173711002	-16850.78005732138	-27.13167978863777	-16850.78005732138	3.5096864893103192	1.0	0.5561884818180372	1.2734577992586593	0.7123931794076839	0.3816079257362256	1.0701519174937413	-23.150766654186164	1.0853715957725483
33000	-16879.627776588484	-16851.984462412103	-27.643314176379192	-16851.984462412103	3.240854140704028	1.0	0.5535915605305993	1.3423156225368789	0.6673650629055776	0.5480925264201181	1.2241890260042023	-23.460449869368794	1.346298733002772
34000	-16873.842031693177	-16846.103018792266	-27.739012900911746	-16846.103018792266	2.898754128310991	1.0	0.5514406426043014	1.3199529376815178	0.7078051782388569	0.35621411922378204	1.077107144571101	-23.624590674139874	0.9388216915207827
35000	-16866.99737343657	-16840.87048257969	-26.126890856881232	-16840.87048257969	2.5965076585051	1.0	0.5514406426043014	1.3199529376815178	0.6862039838946163	0.2893020698450187	0.9636386816648416	-22.01246863010936	0.932009171243739
36000	-16846.519748303945	-16817.796172195678	-28.723576108266542	-16817.796172195678	2.8712068861243103	1.0	0.5514406426043014	1.3865112719687274	0.658321382002795	0.3639280596570555	1.1820952735830366	-24.41222257161404	1.3091697143094492
37000	-16855.589444657275	-16823.98663169303	-31.60281296424452	-16823.98663169303	3.281527690132896	1.0	0.5514406426043014	1.3545670238776666	0.7098782931275273	0.35670930305837073	1.176346862750825	-27.385836405972213	0.6652962326788995
38000	-16845.556604346788	-16817.763010944396	-27.793593402392286	-16817.763010944396	2.6955331909281393	1.0	0.5514406426043014	1.3545670238776666	0.7347236843280711	0.3514973223816408	1.1918491077486675	-23.57661684411998	0.9801192219613242
39000	-16842.162790335475	-16814.918700923852	-27.24408941162114	-16814.918700923852	2.6233491725635187	1.0	0.5514406426043014	1.3017832748514784	0.7469060869817455	0.32843027099639	1.1202394076787832	-23.18362581018194	1.0112083678656383
40000	-16847.00409532918	-16820.61272794596	-26.391367383217503	-16820.61272794596	2.2097954926539347	1.0	0.6303378418551352	1.3135775734881827	0.7280356245005234	0.38453664634083257	1.1603574317776564	-22.216970879052347	0.8007878538299963
41000	-16850.77356379128	-16825.297315506083	-25.476248285199354	-16825.297315506083	2.243324134933709	1.0	0.6303378418551352	1.3135775734881827	0.6638483321667158	0.3857104012546959	1.175292818155653	-21.3018517810342	0.880355530285674
42000	-16848.772051495627	-16820.882362680066	-27.889688815562614	-16820.882362680066	2.494811124027639	1.0	0.6303378418551352	1.360121502918611	0.6669141405351641	0.5150050085108352	1.3031536449227885	-23.57738669338068	0.8980469762530978
43000	-16842.001301587108	-16813.33310405425	-28.668197532857366	-16813.33310405425	2.5458082506817483	1.0	0.6262275653126567	1.3864386142021674	0.6254251565024153	0.9033035191845638	1.4855753935518141	-24.282271453990077	1.258453995209431
44000	-16846.316418438793	-16821.33878926679	-24.97762917200452	-16821.33878926679	2.2517343470558644	1.0	0.6262275653126567	1.3191568568508831	0.726970817254371	0.4817854819968517	1.175918124633101	-20.790782306456077	1.2576341443927062
45000	-16850.82953398317	-16822.3853424463	-28.44419153687014	-16822.3853424463	2.4126594099039704	1.0	0.6262275653126567	1.3580082045824995	0.731174722461497	0.49647504532230424	1.1909948122694183	-24.14224924047468	0.7871878524702317
46000	-16839.792695170418	-16811.63432947042	-28.158365699996985	-16811.63432947042	2.4052656746676613	1.0	0.6262275653126567	1.4085627015387379	0.7436153145715876	0.6384512762013635	1.2955533377195394	-23.707219168335115	0.7245461133680798
